task_id,trajectory_path,stop_reason,reason
102,experiments/baselines/observation_masking/data/102.json,crash,pipeline_anomaly
103,experiments/baselines/observation_masking/data/103.json,crash,pipeline_anomaly
104,experiments/baselines/observation_masking/data/104.json,crash,pipeline_anomaly
105,experiments/baselines/observation_masking/data/105.json,crash,pipeline_anomaly
11,experiments/baselines/observation_masking/data/11.json,crash,pipeline_anomaly
114,experiments/baselines/observation_masking/data/114.json,crash,pipeline_anomaly
118,experiments/baselines/observation_masking/data/118.json,crash,pipeline_anomaly
12,experiments/baselines/observation_masking/data/12.json,crash,pipeline_anomaly
13,experiments/baselines/observation_masking/data/13.json,crash,pipeline_anomaly
130,experiments/baselines/observation_masking/data/130.json,crash,pipeline_anomaly
14,experiments/baselines/observation_masking/data/14.json,crash,pipeline_anomaly
142,experiments/baselines/observation_masking/data/142.json,crash,pipeline_anomaly
156,experiments/baselines/observation_masking/data/156.json,crash,pipeline_anomaly
157,experiments/baselines/observation_masking/data/157.json,crash,pipeline_anomaly
158,experiments/baselines/observation_masking/data/158.json,crash,pipeline_anomaly
159,experiments/baselines/observation_masking/data/159.json,crash,pipeline_anomaly
160,experiments/baselines/observation_masking/data/160.json,crash,pipeline_anomaly
161,experiments/baselines/observation_masking/data/161.json,crash,pipeline_anomaly
162,experiments/baselines/observation_masking/data/162.json,crash,pipeline_anomaly
168,experiments/baselines/observation_masking/data/168.json,crash,pipeline_anomaly
169,experiments/baselines/observation_masking/data/169.json,crash,pipeline_anomaly
170,experiments/baselines/observation_masking/data/170.json,crash,pipeline_anomaly
171,experiments/baselines/observation_masking/data/171.json,crash,pipeline_anomaly
173,experiments/baselines/observation_masking/data/173.json,crash,pipeline_anomaly
174,experiments/baselines/observation_masking/data/174.json,crash,pipeline_anomaly
176,experiments/baselines/observation_masking/data/176.json,crash,pipeline_anomaly
177,experiments/baselines/observation_masking/data/177.json,crash,pipeline_anomaly
178,experiments/baselines/observation_masking/data/178.json,crash,pipeline_anomaly
179,experiments/baselines/observation_masking/data/179.json,crash,pipeline_anomaly
181,experiments/baselines/observation_masking/data/181.json,crash,pipeline_anomaly
182,experiments/baselines/observation_masking/data/182.json,crash,pipeline_anomaly
186,experiments/baselines/observation_masking/data/186.json,crash,pipeline_anomaly
199,experiments/baselines/observation_masking/data/199.json,crash,pipeline_anomaly
204,experiments/baselines/observation_masking/data/204.json,crash,pipeline_anomaly
238,experiments/baselines/observation_masking/data/238.json,crash,pipeline_anomaly
239,experiments/baselines/observation_masking/data/239.json,crash,pipeline_anomaly
240,experiments/baselines/observation_masking/data/240.json,crash,pipeline_anomaly
241,experiments/baselines/observation_masking/data/241.json,crash,pipeline_anomaly
258,experiments/baselines/observation_masking/data/258.json,crash,pipeline_anomaly
26,experiments/baselines/observation_masking/data/26.json,crash,pipeline_anomaly
260,experiments/baselines/observation_masking/data/260.json,crash,pipeline_anomaly
262,experiments/baselines/observation_masking/data/262.json,crash,pipeline_anomaly
263,experiments/baselines/observation_masking/data/263.json,crash,pipeline_anomaly
264,experiments/baselines/observation_masking/data/264.json,crash,pipeline_anomaly
269,experiments/baselines/observation_masking/data/269.json,crash,pipeline_anomaly
27,experiments/baselines/observation_masking/data/27.json,crash,pipeline_anomaly
270,experiments/baselines/observation_masking/data/270.json,crash,pipeline_anomaly
272,experiments/baselines/observation_masking/data/272.json,crash,pipeline_anomaly
273,experiments/baselines/observation_masking/data/273.json,crash,pipeline_anomaly
274,experiments/baselines/observation_masking/data/274.json,crash,pipeline_anomaly
275,experiments/baselines/observation_masking/data/275.json,crash,pipeline_anomaly
276,experiments/baselines/observation_masking/data/276.json,crash,pipeline_anomaly
277,experiments/baselines/observation_masking/data/277.json,crash,pipeline_anomaly
278,experiments/baselines/observation_masking/data/278.json,crash,pipeline_anomaly
279,experiments/baselines/observation_masking/data/279.json,crash,pipeline_anomaly
28,experiments/baselines/observation_masking/data/28.json,crash,pipeline_anomaly
280,experiments/baselines/observation_masking/data/280.json,crash,pipeline_anomaly
281,experiments/baselines/observation_masking/data/281.json,crash,pipeline_anomaly
282,experiments/baselines/observation_masking/data/282.json,crash,pipeline_anomaly
283,experiments/baselines/observation_masking/data/283.json,crash,pipeline_anomaly
284,experiments/baselines/observation_masking/data/284.json,crash,pipeline_anomaly
285,experiments/baselines/observation_masking/data/285.json,crash,pipeline_anomaly
286,experiments/baselines/observation_masking/data/286.json,crash,pipeline_anomaly
289,experiments/baselines/observation_masking/data/289.json,crash,pipeline_anomaly
29,experiments/baselines/observation_masking/data/29.json,crash,pipeline_anomaly
290,experiments/baselines/observation_masking/data/290.json,crash,pipeline_anomaly
291,experiments/baselines/observation_masking/data/291.json,crash,pipeline_anomaly
298,experiments/baselines/observation_masking/data/298.json,crash,pipeline_anomaly
299,experiments/baselines/observation_masking/data/299.json,crash,pipeline_anomaly
30,experiments/baselines/observation_masking/data/30.json,crash,pipeline_anomaly
300,experiments/baselines/observation_masking/data/300.json,crash,pipeline_anomaly
308,experiments/baselines/observation_masking/data/308.json,crash,pipeline_anomaly
309,experiments/baselines/observation_masking/data/309.json,crash,pipeline_anomaly
31,experiments/baselines/observation_masking/data/31.json,crash,pipeline_anomaly
310,experiments/baselines/observation_masking/data/310.json,crash,pipeline_anomaly
311,experiments/baselines/observation_masking/data/311.json,crash,pipeline_anomaly
312,experiments/baselines/observation_masking/data/312.json,crash,pipeline_anomaly
315,experiments/baselines/observation_masking/data/315.json,crash,pipeline_anomaly
316,experiments/baselines/observation_masking/data/316.json,crash,pipeline_anomaly
317,experiments/baselines/observation_masking/data/317.json,crash,pipeline_anomaly
318,experiments/baselines/observation_masking/data/318.json,crash,pipeline_anomaly
323,experiments/baselines/observation_masking/data/323.json,crash,pipeline_anomaly
324,experiments/baselines/observation_masking/data/324.json,crash,pipeline_anomaly
325,experiments/baselines/observation_masking/data/325.json,crash,pipeline_anomaly
326,experiments/baselines/observation_masking/data/326.json,crash,pipeline_anomaly
327,experiments/baselines/observation_masking/data/327.json,crash,pipeline_anomaly
328,experiments/baselines/observation_masking/data/328.json,crash,pipeline_anomaly
333,experiments/baselines/observation_masking/data/333.json,crash,pipeline_anomaly
339,experiments/baselines/observation_masking/data/339.json,crash,pipeline_anomaly
340,experiments/baselines/observation_masking/data/340.json,crash,pipeline_anomaly
341,experiments/baselines/observation_masking/data/341.json,crash,pipeline_anomaly
342,experiments/baselines/observation_masking/data/342.json,crash,pipeline_anomaly
343,experiments/baselines/observation_masking/data/343.json,crash,pipeline_anomaly
349,experiments/baselines/observation_masking/data/349.json,crash,pipeline_anomaly
351,experiments/baselines/observation_masking/data/351.json,crash,pipeline_anomaly
352,experiments/baselines/observation_masking/data/352.json,crash,pipeline_anomaly
353,experiments/baselines/observation_masking/data/353.json,crash,pipeline_anomaly
354,experiments/baselines/observation_masking/data/354.json,crash,pipeline_anomaly
355,experiments/baselines/observation_masking/data/355.json,crash,pipeline_anomaly
357,experiments/baselines/observation_masking/data/357.json,crash,pipeline_anomaly
374,experiments/baselines/observation_masking/data/374.json,crash,pipeline_anomaly
375,experiments/baselines/observation_masking/data/375.json,crash,pipeline_anomaly
387,experiments/baselines/observation_masking/data/387.json,crash,pipeline_anomaly
388,experiments/baselines/observation_masking/data/388.json,crash,pipeline_anomaly
389,experiments/baselines/observation_masking/data/389.json,crash,pipeline_anomaly
