task_id,trajectory_path,stop_reason,reason
102,experiments/baselines/sliding_window/data/102.json,crash,pipeline_anomaly
103,experiments/baselines/sliding_window/data/103.json,crash,pipeline_anomaly
104,experiments/baselines/sliding_window/data/104.json,crash,pipeline_anomaly
105,experiments/baselines/sliding_window/data/105.json,crash,pipeline_anomaly
11,experiments/baselines/sliding_window/data/11.json,crash,pipeline_anomaly
114,experiments/baselines/sliding_window/data/114.json,crash,pipeline_anomaly
118,experiments/baselines/sliding_window/data/118.json,crash,pipeline_anomaly
12,experiments/baselines/sliding_window/data/12.json,crash,pipeline_anomaly
13,experiments/baselines/sliding_window/data/13.json,crash,pipeline_anomaly
130,experiments/baselines/sliding_window/data/130.json,crash,pipeline_anomaly
14,experiments/baselines/sliding_window/data/14.json,crash,pipeline_anomaly
142,experiments/baselines/sliding_window/data/142.json,crash,pipeline_anomaly
156,experiments/baselines/sliding_window/data/156.json,crash,pipeline_anomaly
157,experiments/baselines/sliding_window/data/157.json,crash,pipeline_anomaly
158,experiments/baselines/sliding_window/data/158.json,crash,pipeline_anomaly
159,experiments/baselines/sliding_window/data/159.json,crash,pipeline_anomaly
160,experiments/baselines/sliding_window/data/160.json,crash,pipeline_anomaly
161,experiments/baselines/sliding_window/data/161.json,crash,pipeline_anomaly
162,experiments/baselines/sliding_window/data/162.json,crash,pipeline_anomaly
168,experiments/baselines/sliding_window/data/168.json,crash,pipeline_anomaly
169,experiments/baselines/sliding_window/data/169.json,crash,pipeline_anomaly
170,experiments/baselines/sliding_window/data/170.json,crash,pipeline_anomaly
171,experiments/baselines/sliding_window/data/171.json,crash,pipeline_anomaly
173,experiments/baselines/sliding_window/data/173.json,crash,pipeline_anomaly
174,experiments/baselines/sliding_window/data/174.json,crash,pipeline_anomaly
176,experiments/baselines/sliding_window/data/176.json,crash,pipeline_anomaly
177,experiments/baselines/sliding_window/data/177.json,crash,pipeline_anomaly
178,experiments/baselines/sliding_window/data/178.json,crash,pipeline_anomaly
179,experiments/baselines/sliding_window/data/179.json,crash,pipeline_anomaly
181,experiments/baselines/sliding_window/data/181.json,crash,pipeline_anomaly
182,experiments/baselines/sliding_window/data/182.json,crash,pipeline_anomaly
186,experiments/baselines/sliding_window/data/186.json,crash,pipeline_anomaly
199,experiments/baselines/sliding_window/data/199.json,crash,pipeline_anomaly
204,experiments/baselines/sliding_window/data/204.json,crash,pipeline_anomaly
238,experiments/baselines/sliding_window/data/238.json,crash,pipeline_anomaly
239,experiments/baselines/sliding_window/data/239.json,crash,pipeline_anomaly
240,experiments/baselines/sliding_window/data/240.json,crash,pipeline_anomaly
241,experiments/baselines/sliding_window/data/241.json,crash,pipeline_anomaly
258,experiments/baselines/sliding_window/data/258.json,crash,pipeline_anomaly
26,experiments/baselines/sliding_window/data/26.json,crash,pipeline_anomaly
260,experiments/baselines/sliding_window/data/260.json,crash,pipeline_anomaly
262,experiments/baselines/sliding_window/data/262.json,crash,pipeline_anomaly
263,experiments/baselines/sliding_window/data/263.json,crash,pipeline_anomaly
264,experiments/baselines/sliding_window/data/264.json,crash,pipeline_anomaly
269,experiments/baselines/sliding_window/data/269.json,crash,pipeline_anomaly
27,experiments/baselines/sliding_window/data/27.json,crash,pipeline_anomaly
270,experiments/baselines/sliding_window/data/270.json,crash,pipeline_anomaly
272,experiments/baselines/sliding_window/data/272.json,crash,pipeline_anomaly
273,experiments/baselines/sliding_window/data/273.json,crash,pipeline_anomaly
274,experiments/baselines/sliding_window/data/274.json,crash,pipeline_anomaly
275,experiments/baselines/sliding_window/data/275.json,crash,pipeline_anomaly
276,experiments/baselines/sliding_window/data/276.json,crash,pipeline_anomaly
277,experiments/baselines/sliding_window/data/277.json,crash,pipeline_anomaly
278,experiments/baselines/sliding_window/data/278.json,crash,pipeline_anomaly
279,experiments/baselines/sliding_window/data/279.json,crash,pipeline_anomaly
28,experiments/baselines/sliding_window/data/28.json,crash,pipeline_anomaly
280,experiments/baselines/sliding_window/data/280.json,crash,pipeline_anomaly
281,experiments/baselines/sliding_window/data/281.json,crash,pipeline_anomaly
282,experiments/baselines/sliding_window/data/282.json,crash,pipeline_anomaly
283,experiments/baselines/sliding_window/data/283.json,crash,pipeline_anomaly
284,experiments/baselines/sliding_window/data/284.json,crash,pipeline_anomaly
285,experiments/baselines/sliding_window/data/285.json,crash,pipeline_anomaly
286,experiments/baselines/sliding_window/data/286.json,crash,pipeline_anomaly
289,experiments/baselines/sliding_window/data/289.json,crash,pipeline_anomaly
29,experiments/baselines/sliding_window/data/29.json,crash,pipeline_anomaly
290,experiments/baselines/sliding_window/data/290.json,crash,pipeline_anomaly
291,experiments/baselines/sliding_window/data/291.json,crash,pipeline_anomaly
298,experiments/baselines/sliding_window/data/298.json,crash,pipeline_anomaly
299,experiments/baselines/sliding_window/data/299.json,crash,pipeline_anomaly
30,experiments/baselines/sliding_window/data/30.json,crash,pipeline_anomaly
300,experiments/baselines/sliding_window/data/300.json,crash,pipeline_anomaly
308,experiments/baselines/sliding_window/data/308.json,crash,pipeline_anomaly
309,experiments/baselines/sliding_window/data/309.json,crash,pipeline_anomaly
31,experiments/baselines/sliding_window/data/31.json,crash,pipeline_anomaly
310,experiments/baselines/sliding_window/data/310.json,crash,pipeline_anomaly
311,experiments/baselines/sliding_window/data/311.json,crash,pipeline_anomaly
312,experiments/baselines/sliding_window/data/312.json,crash,pipeline_anomaly
315,experiments/baselines/sliding_window/data/315.json,crash,pipeline_anomaly
316,experiments/baselines/sliding_window/data/316.json,crash,pipeline_anomaly
317,experiments/baselines/sliding_window/data/317.json,crash,pipeline_anomaly
318,experiments/baselines/sliding_window/data/318.json,crash,pipeline_anomaly
323,experiments/baselines/sliding_window/data/323.json,crash,pipeline_anomaly
324,experiments/baselines/sliding_window/data/324.json,crash,pipeline_anomaly
325,experiments/baselines/sliding_window/data/325.json,crash,pipeline_anomaly
326,experiments/baselines/sliding_window/data/326.json,crash,pipeline_anomaly
327,experiments/baselines/sliding_window/data/327.json,crash,pipeline_anomaly
328,experiments/baselines/sliding_window/data/328.json,crash,pipeline_anomaly
333,experiments/baselines/sliding_window/data/333.json,crash,pipeline_anomaly
339,experiments/baselines/sliding_window/data/339.json,crash,pipeline_anomaly
340,experiments/baselines/sliding_window/data/340.json,crash,pipeline_anomaly
341,experiments/baselines/sliding_window/data/341.json,crash,pipeline_anomaly
342,experiments/baselines/sliding_window/data/342.json,crash,pipeline_anomaly
343,experiments/baselines/sliding_window/data/343.json,crash,pipeline_anomaly
349,experiments/baselines/sliding_window/data/349.json,crash,pipeline_anomaly
351,experiments/baselines/sliding_window/data/351.json,crash,pipeline_anomaly
352,experiments/baselines/sliding_window/data/352.json,crash,pipeline_anomaly
353,experiments/baselines/sliding_window/data/353.json,crash,pipeline_anomaly
354,experiments/baselines/sliding_window/data/354.json,crash,pipeline_anomaly
355,experiments/baselines/sliding_window/data/355.json,crash,pipeline_anomaly
357,experiments/baselines/sliding_window/data/357.json,crash,pipeline_anomaly
374,experiments/baselines/sliding_window/data/374.json,crash,pipeline_anomaly
375,experiments/baselines/sliding_window/data/375.json,crash,pipeline_anomaly
387,experiments/baselines/sliding_window/data/387.json,crash,pipeline_anomaly
388,experiments/baselines/sliding_window/data/388.json,crash,pipeline_anomaly
389,experiments/baselines/sliding_window/data/389.json,crash,pipeline_anomaly
390,experiments/baselines/sliding_window/data/390.json,crash,pipeline_anomaly
391,experiments/baselines/sliding_window/data/391.json,crash,pipeline_anomaly
393,experiments/baselines/sliding_window/data/393.json,crash,pipeline_anomaly
394,experiments/baselines/sliding_window/data/394.json,crash,pipeline_anomaly
395,experiments/baselines/sliding_window/data/395.json,crash,pipeline_anomaly
398,experiments/baselines/sliding_window/data/398.json,crash,pipeline_anomaly
399,experiments/baselines/sliding_window/data/399.json,crash,pipeline_anomaly
400,experiments/baselines/sliding_window/data/400.json,crash,pipeline_anomaly
401,experiments/baselines/sliding_window/data/401.json,crash,pipeline_anomaly
402,experiments/baselines/sliding_window/data/402.json,crash,pipeline_anomaly
403,experiments/baselines/sliding_window/data/403.json,crash,pipeline_anomaly
404,experiments/baselines/sliding_window/data/404.json,crash,pipeline_anomaly
405,experiments/baselines/sliding_window/data/405.json,crash,pipeline_anomaly
406,experiments/baselines/sliding_window/data/406.json,crash,pipeline_anomaly
408,experiments/baselines/sliding_window/data/408.json,crash,pipeline_anomaly
410,experiments/baselines/sliding_window/data/410.json,crash,pipeline_anomaly
411,experiments/baselines/sliding_window/data/411.json,crash,pipeline_anomaly
412,experiments/baselines/sliding_window/data/412.json,crash,pipeline_anomaly
413,experiments/baselines/sliding_window/data/413.json,crash,pipeline_anomaly
415,experiments/baselines/sliding_window/data/415.json,crash,pipeline_anomaly
416,experiments/baselines/sliding_window/data/416.json,crash,pipeline_anomaly
417,experiments/baselines/sliding_window/data/417.json,crash,pipeline_anomaly
419,experiments/baselines/sliding_window/data/419.json,crash,pipeline_anomaly
420,experiments/baselines/sliding_window/data/420.json,crash,pipeline_anomaly
421,experiments/baselines/sliding_window/data/421.json,crash,pipeline_anomaly
422,experiments/baselines/sliding_window/data/422.json,crash,pipeline_anomaly
423,experiments/baselines/sliding_window/data/423.json,crash,pipeline_anomaly
431,experiments/baselines/sliding_window/data/431.json,crash,pipeline_anomaly
432,experiments/baselines/sliding_window/data/432.json,crash,pipeline_anomaly
433,experiments/baselines/sliding_window/data/433.json,crash,pipeline_anomaly
434,experiments/baselines/sliding_window/data/434.json,crash,pipeline_anomaly
436,experiments/baselines/sliding_window/data/436.json,crash,pipeline_anomaly
437,experiments/baselines/sliding_window/data/437.json,crash,pipeline_anomaly
438,experiments/baselines/sliding_window/data/438.json,crash,pipeline_anomaly
44,experiments/baselines/sliding_window/data/44.json,crash,pipeline_anomaly
440,experiments/baselines/sliding_window/data/440.json,crash,pipeline_anomaly
441,experiments/baselines/sliding_window/data/441.json,crash,pipeline_anomaly
442,experiments/baselines/sliding_window/data/442.json,crash,pipeline_anomaly
443,experiments/baselines/sliding_window/data/443.json,crash,pipeline_anomaly
444,experiments/baselines/sliding_window/data/444.json,crash,pipeline_anomaly
446,experiments/baselines/sliding_window/data/446.json,crash,pipeline_anomaly
447,experiments/baselines/sliding_window/data/447.json,crash,pipeline_anomaly
448,experiments/baselines/sliding_window/data/448.json,crash,pipeline_anomaly
449,experiments/baselines/sliding_window/data/449.json,crash,pipeline_anomaly
45,experiments/baselines/sliding_window/data/45.json,crash,pipeline_anomaly
450,experiments/baselines/sliding_window/data/450.json,crash,pipeline_anomaly
451,experiments/baselines/sliding_window/data/451.json,crash,pipeline_anomaly
453,experiments/baselines/sliding_window/data/453.json,crash,pipeline_anomaly
454,experiments/baselines/sliding_window/data/454.json,crash,pipeline_anomaly
455,experiments/baselines/sliding_window/data/455.json,crash,pipeline_anomaly
457,experiments/baselines/sliding_window/data/457.json,crash,pipeline_anomaly
458,experiments/baselines/sliding_window/data/458.json,crash,pipeline_anomaly
459,experiments/baselines/sliding_window/data/459.json,crash,pipeline_anomaly
46,experiments/baselines/sliding_window/data/46.json,crash,pipeline_anomaly
460,experiments/baselines/sliding_window/data/460.json,crash,pipeline_anomaly
461,experiments/baselines/sliding_window/data/461.json,crash,pipeline_anomaly
464,experiments/baselines/sliding_window/data/464.json,crash,pipeline_anomaly
465,experiments/baselines/sliding_window/data/465.json,crash,pipeline_anomaly
467,experiments/baselines/sliding_window/data/467.json,crash,pipeline_anomaly
468,experiments/baselines/sliding_window/data/468.json,crash,pipeline_anomaly
469,experiments/baselines/sliding_window/data/469.json,crash,pipeline_anomaly
47,experiments/baselines/sliding_window/data/47.json,crash,pipeline_anomaly
470,experiments/baselines/sliding_window/data/470.json,crash,pipeline_anomaly
471,experiments/baselines/sliding_window/data/471.json,crash,pipeline_anomaly
472,experiments/baselines/sliding_window/data/472.json,crash,pipeline_anomaly
473,experiments/baselines/sliding_window/data/473.json,crash,pipeline_anomaly
475,experiments/baselines/sliding_window/data/475.json,crash,pipeline_anomaly
476,experiments/baselines/sliding_window/data/476.json,crash,pipeline_anomaly
477,experiments/baselines/sliding_window/data/477.json,crash,pipeline_anomaly
478,experiments/baselines/sliding_window/data/478.json,crash,pipeline_anomaly
48,experiments/baselines/sliding_window/data/48.json,crash,pipeline_anomaly
481,experiments/baselines/sliding_window/data/481.json,crash,pipeline_anomaly
482,experiments/baselines/sliding_window/data/482.json,crash,pipeline_anomaly
483,experiments/baselines/sliding_window/data/483.json,crash,pipeline_anomaly
484,experiments/baselines/sliding_window/data/484.json,crash,pipeline_anomaly
486,experiments/baselines/sliding_window/data/486.json,crash,pipeline_anomaly
487,experiments/baselines/sliding_window/data/487.json,crash,pipeline_anomaly
488,experiments/baselines/sliding_window/data/488.json,crash,pipeline_anomaly
489,experiments/baselines/sliding_window/data/489.json,crash,pipeline_anomaly
49,experiments/baselines/sliding_window/data/49.json,crash,pipeline_anomaly
492,experiments/baselines/sliding_window/data/492.json,crash,pipeline_anomaly
493,experiments/baselines/sliding_window/data/493.json,crash,pipeline_anomaly
494,experiments/baselines/sliding_window/data/494.json,crash,pipeline_anomaly
495,experiments/baselines/sliding_window/data/495.json,crash,pipeline_anomaly
496,experiments/baselines/sliding_window/data/496.json,crash,pipeline_anomaly
497,experiments/baselines/sliding_window/data/497.json,crash,pipeline_anomaly
498,experiments/baselines/sliding_window/data/498.json,crash,pipeline_anomaly
499,experiments/baselines/sliding_window/data/499.json,crash,pipeline_anomaly
501,experiments/baselines/sliding_window/data/501.json,crash,pipeline_anomaly
502,experiments/baselines/sliding_window/data/502.json,crash,pipeline_anomaly
503,experiments/baselines/sliding_window/data/503.json,crash,pipeline_anomaly
504,experiments/baselines/sliding_window/data/504.json,crash,pipeline_anomaly
506,experiments/baselines/sliding_window/data/506.json,crash,pipeline_anomaly
507,experiments/baselines/sliding_window/data/507.json,crash,pipeline_anomaly
508,experiments/baselines/sliding_window/data/508.json,crash,pipeline_anomaly
509,experiments/baselines/sliding_window/data/509.json,crash,pipeline_anomaly
51,experiments/baselines/sliding_window/data/51.json,crash,pipeline_anomaly
510,experiments/baselines/sliding_window/data/510.json,crash,pipeline_anomaly
511,experiments/baselines/sliding_window/data/511.json,crash,pipeline_anomaly
512,experiments/baselines/sliding_window/data/512.json,crash,pipeline_anomaly
514,experiments/baselines/sliding_window/data/514.json,crash,pipeline_anomaly
515,experiments/baselines/sliding_window/data/515.json,crash,pipeline_anomaly
516,experiments/baselines/sliding_window/data/516.json,crash,pipeline_anomaly
517,experiments/baselines/sliding_window/data/517.json,crash,pipeline_anomaly
518,experiments/baselines/sliding_window/data/518.json,crash,pipeline_anomaly
519,experiments/baselines/sliding_window/data/519.json,crash,pipeline_anomaly
521,experiments/baselines/sliding_window/data/521.json,crash,pipeline_anomaly
522,experiments/baselines/sliding_window/data/522.json,crash,pipeline_anomaly
523,experiments/baselines/sliding_window/data/523.json,crash,pipeline_anomaly
524,experiments/baselines/sliding_window/data/524.json,crash,pipeline_anomaly
525,experiments/baselines/sliding_window/data/525.json,crash,pipeline_anomaly
526,experiments/baselines/sliding_window/data/526.json,crash,pipeline_anomaly
528,experiments/baselines/sliding_window/data/528.json,crash,pipeline_anomaly
529,experiments/baselines/sliding_window/data/529.json,crash,pipeline_anomaly
530,experiments/baselines/sliding_window/data/530.json,crash,pipeline_anomaly
531,experiments/baselines/sliding_window/data/531.json,crash,pipeline_anomaly
532,experiments/baselines/sliding_window/data/532.json,crash,pipeline_anomaly
534,experiments/baselines/sliding_window/data/534.json,crash,pipeline_anomaly
535,experiments/baselines/sliding_window/data/535.json,crash,pipeline_anomaly
536,experiments/baselines/sliding_window/data/536.json,crash,pipeline_anomaly
537,experiments/baselines/sliding_window/data/537.json,crash,pipeline_anomaly
538,experiments/baselines/sliding_window/data/538.json,crash,pipeline_anomaly
539,experiments/baselines/sliding_window/data/539.json,crash,pipeline_anomaly
540,experiments/baselines/sliding_window/data/540.json,crash,pipeline_anomaly
541,experiments/baselines/sliding_window/data/541.json,crash,pipeline_anomaly
543,experiments/baselines/sliding_window/data/543.json,crash,pipeline_anomaly
544,experiments/baselines/sliding_window/data/544.json,crash,pipeline_anomaly
546,experiments/baselines/sliding_window/data/546.json,crash,pipeline_anomaly
547,experiments/baselines/sliding_window/data/547.json,crash,pipeline_anomaly
548,experiments/baselines/sliding_window/data/548.json,crash,pipeline_anomaly
550,experiments/baselines/sliding_window/data/550.json,crash,pipeline_anomaly
551,experiments/baselines/sliding_window/data/551.json,crash,pipeline_anomaly
552,experiments/baselines/sliding_window/data/552.json,crash,pipeline_anomaly
553,experiments/baselines/sliding_window/data/553.json,crash,pipeline_anomaly
554,experiments/baselines/sliding_window/data/554.json,crash,pipeline_anomaly
555,experiments/baselines/sliding_window/data/555.json,crash,pipeline_anomaly
562,experiments/baselines/sliding_window/data/562.json,crash,pipeline_anomaly
563,experiments/baselines/sliding_window/data/563.json,crash,pipeline_anomaly
564,experiments/baselines/sliding_window/data/564.json,crash,pipeline_anomaly
566,experiments/baselines/sliding_window/data/566.json,crash,pipeline_anomaly
567,experiments/baselines/sliding_window/data/567.json,crash,pipeline_anomaly
568,experiments/baselines/sliding_window/data/568.json,crash,pipeline_anomaly
569,experiments/baselines/sliding_window/data/569.json,crash,pipeline_anomaly
570,experiments/baselines/sliding_window/data/570.json,crash,pipeline_anomaly
571,experiments/baselines/sliding_window/data/571.json,crash,pipeline_anomaly
572,experiments/baselines/sliding_window/data/572.json,crash,pipeline_anomaly
573,experiments/baselines/sliding_window/data/573.json,crash,pipeline_anomaly
574,experiments/baselines/sliding_window/data/574.json,crash,pipeline_anomaly
575,experiments/baselines/sliding_window/data/575.json,crash,pipeline_anomaly
576,experiments/baselines/sliding_window/data/576.json,crash,pipeline_anomaly
577,experiments/baselines/sliding_window/data/577.json,crash,pipeline_anomaly
578,experiments/baselines/sliding_window/data/578.json,crash,pipeline_anomaly
579,experiments/baselines/sliding_window/data/579.json,crash,pipeline_anomaly
580,experiments/baselines/sliding_window/data/580.json,crash,pipeline_anomaly
581,experiments/baselines/sliding_window/data/581.json,crash,pipeline_anomaly
582,experiments/baselines/sliding_window/data/582.json,crash,pipeline_anomaly
583,experiments/baselines/sliding_window/data/583.json,crash,pipeline_anomaly
584,experiments/baselines/sliding_window/data/584.json,crash,pipeline_anomaly
585,experiments/baselines/sliding_window/data/585.json,crash,pipeline_anomaly
586,experiments/baselines/sliding_window/data/586.json,crash,pipeline_anomaly
588,experiments/baselines/sliding_window/data/588.json,crash,pipeline_anomaly
589,experiments/baselines/sliding_window/data/589.json,crash,pipeline_anomaly
594,experiments/baselines/sliding_window/data/594.json,crash,pipeline_anomaly
595,experiments/baselines/sliding_window/data/595.json,crash,pipeline_anomaly
